url,imdb_id,prediction,prediction_lr
https://youtu.be/2iBFmKlO4BY,tt0103074,,6110384.380347708
https://youtu.be/pumf6m7d14w,tt0102526,,5495627.8399460185
https://youtu.be/zzwPuJklv4w,tt0104692,,6013148.043332936
https://youtu.be/gG22XNhtnoY,tt0108052,,7421291.878877006
https://youtu.be/g-HeV8Z6iXc,tt0109831,,5163976.959016772
https://youtu.be/yNLaTtpovys,tt0113161,,8388871.570456559
https://youtu.be/rCCaTPY-z4Q,tt0116695,,14278107.994599964
https://youtu.be/IOmm1OD2ArQ,tt0120490,,
https://youtu.be/qFee7ad2Zgo,tt0120376,,
https://youtu.be/JUEEOxIUOL8,tt0119196,,
https://youtu.be/NJP7JzpfO88,tt0161023,,1357206.2059201747
https://youtu.be/i6zhRf6uQyA,tt0216772,,
https://youtu.be/BPQQe2fFM3Q,tt0180052,,32873637.30315987
https://youtu.be/r5X-hFf6Bwo,tt0167260,,30679236.576543193
https://youtu.be/lAxgztbYDbs,tt0304141,,45314140.981691934
https://youtu.be/KIk5rfA5uWE,tt0371257,,15030998.650050506
https://youtu.be/Q5hA3PN0uic,tt0460792,,
https://youtu.be/g7ArZ7VD-QQ,tt0758758,,5732723.464129619
https://youtu.be/61-GFxjTyV0,tt1125849,,187627.4239881849
https://youtu.be/AIzbwV7on6Q,tt1010048,,8061792.864218181
https://youtu.be/Fi9AVKqHzHU,tt1116184,,5641444.665572777
https://youtu.be/6kw1UVovByw,tt1074638,,64782132.29645989
https://youtu.be/C_Tsj_wTJkQ,tt1951265,,41347972.83935892
https://youtu.be/RFinNxS5KN4,tt0369610,,51387302.42971087
https://youtu.be/KqRdVOQ98k8,tt2582500,,-41628.12010749616
https://youtu.be/Vu4UPet8Nyc,tt4209788,,
https://youtu.be/pFc6I0rgmgY,tt4209788,,
https://youtu.be/7Pa_Weidt08,tt5117670,,
https://youtu.be/JAHKQPBKSZ8,tt4154916,,
